"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"t2656761","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Apibacter","Apibacter sp. B2966"
"t5868","Eukaryota","Apicomplexa","Aconoidasida","Piroplasmida","Babesiidae","Babesia","Babesia microti"
"t2801335","Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae","Devosia","Devosia sp. G19"
"t2715735","Bacteria","Thermotogae","Thermotogae","Thermotogales","Candidatus Chazhemtobacteraceae","Candidatus Chazhemtobacterium","Candidatus Chazhemtobacterium aquaticus"
"t216938","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma","Spiroplasma helicoides"
"t1858656","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas pelagimontana"
"t1266052","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera","Psychrosphaera aestuarii"
"t2178928","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Schitoviridae","Johnsonvirus","Johnsonvirus Erwinia phage phiEaP-8"
"t68214","Bacteria","Actinobacteria","Actinomycetia","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces griseochromogenes"
"t231455","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Dyella japonica"
"t348826","Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum","Natronorubrum aibiense"
"t1335757","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Spiribacter","Spiribacter curvatus"
"t83816","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter","Methanobrevibacter ruminantium"
"t2058624","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Undibacterium","Undibacterium sp. KW1"
"t360911","Bacteria","Firmicutes","Bacilli","Bacillales","","Exiguobacterium","Exiguobacterium sp. AT1b"
"t10726","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Demerecviridae","Tequintavirus","Tequintavirus Escherichia virus T5"
"t106634","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae","Thioalkalivibrio","Thioalkalivibrio versutus"
"t2822368","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter sp. CECT 30171"
"t883811","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium Isorropodon fossajaponicum symbiont"
"t1549855","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Haematospirillum","Haematospirillum jordaniae"
"t367190","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia similis"
"t45286","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Eremothecium","Eremothecium sinecaudum"
"t171279","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasmopsis Mycoplasma anatis"
"t2528017","Bacteria","Planctomycetes","Planctomycetia","Pirellulales","Pirellulaceae","Rosistilla","Rosistilla carotiformis"
"t171282","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasmopsis Mycoplasma columborale"
"t2596674","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Podoviridae",""," Stenotrophomonas phage Pokken"
"t1675689","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas sp. Ne-1"
"t2591407","Viruses","Uroviricota","Caudoviricetes","Caudovirales","Drexlerviridae","Webervirus","Webervirus Escherichia phage vB_EcoS_PHB17"
"t1842535","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas","Blastomonas sp. RAC04"
