"","taxonomy","prev_I","p_I","prev_M","p_M","prev_U","p_U","pmin","contaminant"
"X4df8473b0be4ef1e59f0b0709c586919","UBA1819 (RSV176)",2,NA,3,NA,1,NA,NA,FALSE
"Xc3a3a503752209bc052b3995236b079f","Streptococcus (RSV177)",14,0.843615870358614,19,0.430555468913272,10,0.986851055719357,0.430555468913272,FALSE
"X6a57339163b1db2da81ab332dc9b1823","unassigned Firmicutes (RSV178)",9,NA,10,0.62367205303969,2,NA,0.62367205303969,FALSE
"X7d90e48250138757536629dbc7b309dc","Streptococcus (RSV179)",0,NA,26,0.830279515878608,0,NA,0.830279515878608,FALSE
"X9352e570a182123f48d92df829d0fcf0","Catenibacterium (RSV180)",81,0.999062508300085,27,0.798725529832435,2,NA,0.798725529832435,FALSE
"X2b868acb906ca5a23d3950b48894cd70","Micrococcus (RSV181)",423,0.999999999999999,85,0.977068988615994,19,0.999999414553403,0.977068988615994,FALSE
"Xdf5c1ef25ab497ab767dcbb6be082f83","Akkermansia (RSV182)",12,0.860924133419972,4,NA,4,NA,0.860924133419972,FALSE
"X949b1efcf4548daf1c0b9ef470bacda9","Corynebacterium_1 (RSV183)",204,0.999564157893506,0,NA,0,NA,0.999564157893506,FALSE
"X5c2471c42e6b5b07f45f69d08b145d0b","Prevotella_9 (RSV184)",0,NA,19,0.999958578691019,0,NA,0.999958578691019,FALSE
"X26f5fefce8bafd0c1933143ffd471ebc","Clostridium_sensu_stricto_1 (RSV185)",7,NA,3,NA,1,NA,NA,FALSE
"X42c44631c96adaeb8fb3424b34486e35","Collinsella (RSV186)",16,0.728933389834447,11,0.572949462804892,1,NA,0.572949462804892,FALSE
"Xe6762de2614b218cabc331f24ce04d75","Streptococcus (RSV187)",47,0.893195338525899,27,0.989766598962887,0,NA,0.893195338525899,FALSE
